N,F0,PER,d0,v0,collision,attack
3,-7,0.18,4.345,62,0,0
10,-2,0.7,8.897,24,1,0
7,-6,0.71,6.918,87,1,1
3,-3,0.05,5.299,23,0,1
9,-1,0.31,6.755,66,0,1
7,-2,0.26,7.285,42,0,0
4,-5,0.15,6.119,23,0,1
9,-5,0.27,8.099,39,1,0
6,-6,0.33,5.435,67,1,0
5,-7,0.44,8.755,69,0,0
5,-4,0.07,8.808,70,0,0
4,-6,0.07,5.597,12,0,1
7,-5,0.58,7.62,42,0,0
5,-6,0.43,7.414,29,0,0
3,-2,0.81,4.571,15,0,0
10,-6,0.08,9.603001,79,1,1
10,-7,0.11,4.998,61,1,0
3,-4,0.01,8.93,67,0,1
6,-8,0.3,8.15,74,0,0
6,-4,0.12,7.629,20,0,0
5,-2,0.61,5.341,61,1,0
10,-1,0.28,10.224,14,0,1
7,-6,0.86,4.862,78,1,0
10,0,0.89,9.8619995,77,1,1
4,0,0.8,6.614,63,1,1
7,-6,0.02,7.826,61,0,0
10,-3,0.66,4.255,62,1,0
9,-5,0.22,7.318,88,1,1
5,-4,0.21,4.158,85,0,0
10,-8,0.67,6.989,52,1,0
9,-6,0.78,5.957,83,1,0
5,-6,0.89,10.407,36,1,1
6,-2,0.96,8.594,62,1,1
5,-5,0.29,5.453,69,0,1
7,-3,0.8,7.22,61,1,1
5,-8,0.22,7.784,16,0,0
7,-7,0.7,5.594,16,0,0
9,-7,0.09,5.753,34,1,0
7,-6,0.74,8.127,58,1,1
3,-1,0.85,9.366,81,1,1
