N,F0,PER,d0,v0,collision,attack
10,-8,0.71,4.158,39,1,0
4,-1,0.58,6.599,75,0,0
4,-2,0.28,4.249,22,0,0
3,-6,0.46395206,5.310302,62,0,1
7,-2,0.3492384,5.186104,68,1,1
4,-6,0.16,8.12,70,0,0
8,-6,0.55,4.037,37,1,0
9,-5,0.37,5.396,57,0,0
9,-8,0.08,6.999,71,1,0
6,-7,0.46295738,5.5957537,52,1,1
8,-4,0.35,6.198,65,0,0
10,-6,0.75,8.162,84,1,1
3,-5,0.99,5.803,65,1,0
7,-2,0.6973686,6.943985,67,0,1
3,-2,0.43,5.9,55,0,0
6,-4,0.26,4.34,70,0,1
7,-7,0.37246037,6.606331,68,1,1
5,-7,0.35,5.577,49,0,0
10,-4,0.84,6.082,38,1,1
8,-4,0.0005903244,8.929821,87,1,1
3,-6,0.24,4.413,86,0,0
6,-1,0.11,6.664,20,0,0
8,-6,0.89222145,6.453886,11,0,1
5,-4,0.43592262,4.9739513,66,1,1
4,-3,0.47114754,4.286236,26,1,1
3,-7,0.35,5.449,79,0,0
6,-8,0.41,7.748,14,0,0
3,-8,0.03,6.174,10,0,1
6,-8,0.27,5.556,34,0,0
6,-2,0.03,8.911,35,0,1
6,-2,0.42,8.672,13,0,0
10,-7,0.77,6.23,27,1,0
4,-3,0.32986355,7.838687,89,1,1
10,-7,0.87,5.771,80,1,1
5,-4,0.82415485,7.819275,78,0,1
7,-1,0.79,5.268,62,1,0
10,-3,0.78,7.374,87,1,1
8,-1,0.54,7.199,85,0,0
10,-6,0.73,5.548,31,1,0
8,-6,0.046429634,4.997856,80,1,1
8,-5,0.86,5.256,44,1,0
7,-7,0.8,5.348,25,0,0
4,-2,0.9043951,8.541262,83,0,1
6,-4,0.44,8.845,11,0,1
4,-8,0.71,5.019,79,1,0
7,-3,0.96,8.173,13,1,0
7,-3,0.94,4.443,27,1,0
5,-2,0.16,5.159,31,0,1
5,-4,0.24,5.269,18,0,1
5,-3,0.02,8.14,22,0,1
10,-3,0.22,4.322,22,1,0
9,-6,0.86,4.538,46,1,0
7,-5,0.43,4.388,21,0,0
8,-4,0.53,8.765,71,1,0
5,-2,0.4317484,4.3134155,84,1,1
5,-3,0.64,5.307,33,0,0
10,-4,0.76,5.651,86,1,1
5,-1,0.43326855,8.188433,49,1,1
5,-5,0.73,7.452,49,1,0
3,-4,0.7,6.08,19,0,0
6,-7,0.91765785,4.461581,47,1,1
7,-2,0.8317604,6.2611637,55,0,1
8,-4,0.9417734,8.322687,18,0,1
3,-4,0.49,5.417,31,0,1
7,-5,0.39936543,7.0769577,60,1,1
6,-3,0.5367832,7.6593027,55,1,1
